,dateRep,cases,deaths,countriesAndTerritories,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,DIY,Cafe,online_lesson,Bar,Home_Workout,Sewing,Restaurant,deaths18
108,2020-01-20,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,102.59,102.14,99.19,60.1990084399104,75.97519722217429,31.514946288404072,69.85536735251458,6.927515426766453,50.912179680354186,23.59966563306945,0.0
109,2020-01-20,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,103.22,103.88,109.43,41.469325882024336,62.0,16.30233575746457,74.0,6.0,37.324589553178065,60.0,0.0
110,2020-01-20,0,0,Europe,11455519.0,Europe,0.0,0,0,0.0,103.67,105.62,105.08,48.46557041006862,82.8302595123389,23.695870149604946,79.12789145072607,9.219342992324355,33.227733884572714,77.9757193299915,0.0
111,2020-01-20,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,102.63,98.64,104.92,49.71528125336139,83.80458718237408,17.531835646540625,90.82009775378253,11.925550705472439,37.21223089802222,76.20398026432903,0.0
112,2020-01-21,1,0,Rest_of_World,329064917.0,America,0.00030389,1,0,0.0,103.07,100.27,94.84,47.13015362761662,86.83648749349265,23.721023658502762,91.98235470022055,15.686892670032123,25.969043767771247,90.92973477098072,0.0
113,2020-01-21,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,94.52,97.37,90.11,46.296861922411026,71.0,30.427273879821605,58.0,0.0,42.75607846494251,46.0,0.0
114,2020-01-21,0,0,Europe,60359546.0,Europe,0.0,0,0,0.0,103.94,99.04,102.26,59.062487333445006,75.62368883009252,26.811661284349952,69.7742095944681,6.922299579813276,51.06183671503836,23.547380495024818,0.0
115,2020-01-21,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,98.14,109.18,105.36,73.45994559490349,71.37670243300298,10.97579010550139,84.4768714999928,29.16220414958555,42.72195827104538,81.01152394362039,0.0
116,2020-01-21,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,102.93,102.0,88.99,55.92284195107978,93.40774890210855,23.446434059476015,73.4939805802388,4.53891365182475,52.78855065904424,59.425866642856256,0.0
117,2020-01-21,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,102.9,101.25,102.36,57.42587634716416,62.0,2.4239331490601987,34.0,9.0,10.146356505979268,53.0,0.0
118,2020-01-21,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,98.24,98.72,101.37,58.57426802240942,86.63505559430921,13.553437899425957,93.2939803312454,12.124006392982604,73.2280711449105,74.58723704510732,0.0
119,2020-01-21,0,0,United_Kingdom,66647112.0,Europe,0.0,0,0,0.0,107.88,108.0,118.46,41.17087599788308,58.0,15.968668958612538,72.0,7.0,37.56965724165602,55.0,0.0
120,2020-01-21,0,0,Rest_of_World,37411038.0,America,0.0,0,0,0.0,104.31,99.0,108.92,49.58500050030718,84.09899523301482,17.654951109676166,91.06964851251166,11.614701496287223,36.680253411935624,76.36630405258562,0.0
121,2020-01-21,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,105.62,63.98235564853551,104.74,76.61763743316752,85.20112913919544,56.04936215693396,69.56873231186808,9.645469196326887,49.36304142944138,76.27171538283788,0.0
